array_id,scenario,design,sim_id,n_total_enrolled,n_possible_enrolled,estMTD,estMTDCode,trueMTD,RP2D,RP2DCode,RP2DAcceptable,bestP2D,estEff_at_estMTD,num_at_estMTD
40,10,3pl3:Bayes:DEC:Bayes,67,12,12,1,1Y,2,1,1Y,1,2,0.3,6
40,10,3pl3:Bayes:DEC:Bayes,68,12,12,2,1Y,2,2,1Y,1,2,0.157142857142857,6
40,10,3pl3:Bayes:DEC:Bayes,69,12,12,1,1Y,2,1,1Y,1,2,0.3,6
40,10,3pl3:Bayes:DEC:Bayes,70,9,9,1,1Y,2,1,1Y,1,2,0.3,6
40,10,3pl3:Bayes:DEC:Bayes,71,12,12,1,1Y,2,1,1Y,1,2,0.442857142857143,6
40,10,3pl3:Bayes:DEC:Bayes,72,12,12,0,1N,2,0,1TN,0,2,NA,0
40,10,3pl3:Bayes:DEC:Bayes,73,12,12,1,1Y,2,1,1Y,1,2,0.3,6
40,10,3pl3:Bayes:DEC:Bayes,74,21,21,3,1Y,2,3,1Y,0,2,0.157142857142857,6
40,10,3pl3:Bayes:DEC:Bayes,75,3,3,0,1N,2,0,1TN,0,2,NA,0
40,10,3pl3:Bayes:DEC:Bayes,76,6,6,0,1N,2,0,1TN,0,2,NA,0
40,10,3pl3:Bayes:DEC:Bayes,77,12,12,1,1Y,2,1,1Y,1,2,0.442857142857143,6
40,10,3pl3:Bayes:DEC:Bayes,78,12,12,1,1Y,2,1,1Y,1,2,0.442857142857143,6
40,10,3pl3:Bayes:DEC:Bayes,79,12,12,1,1Y,2,1,1Y,1,2,0.157142857142857,6
40,10,3pl3:Bayes:DEC:Bayes,80,21,21,3,1Y,2,3,1Y,0,2,0.157142857142857,6
40,10,3pl3:Bayes:DEC:Bayes,81,12,12,1,1Y,2,1,1Y,1,2,0.157142857142857,6
40,10,3pl3:Bayes:DEC:Bayes,82,3,3,0,1N,2,0,1TN,0,2,NA,0
40,10,3pl3:Bayes:DEC:Bayes,83,3,3,0,1N,2,0,1TN,0,2,NA,0
40,10,3pl3:Bayes:DEC:Bayes,84,15,15,2,1Y,2,2,1Y,1,2,0.585714285714286,6
40,10,3pl3:Bayes:DEC:Bayes,85,9,9,1,1Y,2,1,1Y,1,2,0.3,6
40,10,3pl3:Bayes:DEC:Bayes,86,6,6,0,1N,2,0,1TN,0,2,NA,0
40,10,3pl3:Bayes:DEC:Bayes,87,15,15,2,1Y,2,2,1Y,1,2,0.3,6
40,10,3pl3:Bayes:DEC:Bayes,88,15,15,2,1Y,2,2,1Y,1,2,0.157142857142857,6
40,10,3pl3:none:DEC:Bayes,67,12,12,1,1Y,2,1,1Y,1,2,NA,6
40,10,3pl3:none:DEC:Bayes,68,12,12,2,1Y,2,2,1Y,1,2,NA,6
40,10,3pl3:none:DEC:Bayes,69,12,12,1,1Y,2,1,1Y,1,2,NA,6
40,10,3pl3:none:DEC:Bayes,70,9,9,1,1Y,2,1,1Y,1,2,NA,6
40,10,3pl3:none:DEC:Bayes,71,12,12,1,1Y,2,1,1Y,1,2,NA,6
40,10,3pl3:none:DEC:Bayes,72,12,12,0,1N,2,0,1TN,0,2,NA,0
40,10,3pl3:none:DEC:Bayes,73,12,12,1,1Y,2,1,1Y,1,2,NA,6
40,10,3pl3:none:DEC:Bayes,74,21,21,3,1Y,2,3,1Y,0,2,NA,6
40,10,3pl3:none:DEC:Bayes,75,3,3,0,1N,2,0,1TN,0,2,NA,0
40,10,3pl3:none:DEC:Bayes,76,6,6,0,1N,2,0,1TN,0,2,NA,0
40,10,3pl3:none:DEC:Bayes,77,12,12,1,1Y,2,1,1Y,1,2,NA,6
40,10,3pl3:none:DEC:Bayes,78,12,12,1,1Y,2,1,1Y,1,2,NA,6
40,10,3pl3:none:DEC:Bayes,79,12,12,1,1Y,2,1,1Y,1,2,NA,6
40,10,3pl3:none:DEC:Bayes,80,21,21,3,1Y,2,3,1Y,0,2,NA,6
40,10,3pl3:none:DEC:Bayes,81,12,12,1,1Y,2,1,1Y,1,2,NA,6
40,10,3pl3:none:DEC:Bayes,82,3,3,0,1N,2,0,1TN,0,2,NA,0
40,10,3pl3:none:DEC:Bayes,83,3,3,0,1N,2,0,1TN,0,2,NA,0
40,10,3pl3:none:DEC:Bayes,84,15,15,2,1Y,2,2,1Y,1,2,NA,6
40,10,3pl3:none:DEC:Bayes,85,9,9,1,1Y,2,1,1Y,1,2,NA,6
40,10,3pl3:none:DEC:Bayes,86,6,6,0,1N,2,0,1TN,0,2,NA,0
40,10,3pl3:none:DEC:Bayes,87,15,15,2,1Y,2,2,1Y,1,2,NA,6
40,10,3pl3:none:DEC:Bayes,88,15,15,2,1Y,2,2,1Y,1,2,NA,6
40,10,3pl3:none:DEC:BIsoReg,67,12,12,1,1Y,2,1,1Y,1,2,NA,6
40,10,3pl3:none:DEC:BIsoReg,68,12,12,2,1Y,2,2,1Y,1,2,NA,6
40,10,3pl3:none:DEC:BIsoReg,69,12,12,1,1Y,2,1,1Y,1,2,NA,6
40,10,3pl3:none:DEC:BIsoReg,70,9,9,1,1Y,2,1,1Y,1,2,NA,6
40,10,3pl3:none:DEC:BIsoReg,71,12,12,1,1Y,2,1,1Y,1,2,NA,6
40,10,3pl3:none:DEC:BIsoReg,72,12,12,0,1N,2,0,1TN,0,2,NA,0
40,10,3pl3:none:DEC:BIsoReg,73,12,12,1,1Y,2,1,1Y,1,2,NA,6
40,10,3pl3:none:DEC:BIsoReg,74,21,21,3,1Y,2,3,1Y,0,2,NA,6
40,10,3pl3:none:DEC:BIsoReg,75,3,3,0,1N,2,0,1TN,0,2,NA,0
40,10,3pl3:none:DEC:BIsoReg,76,6,6,0,1N,2,0,1TN,0,2,NA,0
40,10,3pl3:none:DEC:BIsoReg,77,12,12,1,1Y,2,1,1Y,1,2,NA,6
40,10,3pl3:none:DEC:BIsoReg,78,12,12,1,1Y,2,1,1Y,1,2,NA,6
40,10,3pl3:none:DEC:BIsoReg,79,12,12,1,1Y,2,1,1Y,1,2,NA,6
40,10,3pl3:none:DEC:BIsoReg,80,21,21,3,1Y,2,3,1Y,0,2,NA,6
40,10,3pl3:none:DEC:BIsoReg,81,12,12,1,1Y,2,1,1Y,1,2,NA,6
40,10,3pl3:none:DEC:BIsoReg,82,3,3,0,1N,2,0,1TN,0,2,NA,0
40,10,3pl3:none:DEC:BIsoReg,83,3,3,0,1N,2,0,1TN,0,2,NA,0
40,10,3pl3:none:DEC:BIsoReg,84,15,15,2,1Y,2,2,1Y,1,2,NA,6
40,10,3pl3:none:DEC:BIsoReg,85,9,9,1,1Y,2,1,1Y,1,2,NA,6
40,10,3pl3:none:DEC:BIsoReg,86,6,6,0,1N,2,0,1TN,0,2,NA,0
40,10,3pl3:none:DEC:BIsoReg,87,15,15,2,1Y,2,2,1Y,1,2,NA,6
40,10,3pl3:none:DEC:BIsoReg,88,15,15,2,1Y,2,2,1Y,1,2,NA,6
40,10,CRM:Bayes:CRM:Bayes,67,25,25,3,1Y,2,0,1EN,0,2,0.122222222222222,8
40,10,CRM:Bayes:CRM:Bayes,68,25,25,3,1Y,2,3,1Y,0,2,0.435714285714286,13
40,10,CRM:Bayes:CRM:Bayes,69,25,25,2,1Y,2,2,1Y,1,2,0.19375,15
40,10,CRM:Bayes:CRM:Bayes,70,7,25,0,1N,2,0,1TN,0,2,NA,0
40,10,CRM:Bayes:CRM:Bayes,71,18,25,0,1N,2,0,1TN,0,2,NA,0
40,10,CRM:Bayes:CRM:Bayes,72,25,25,3,1Y,2,3,1Y,0,2,0.175,11
40,10,CRM:Bayes:CRM:Bayes,73,25,25,1,1Y,2,1,1Y,1,2,0.22,4
40,10,CRM:Bayes:CRM:Bayes,74,14,25,0,1N,2,0,1TN,0,2,NA,0
40,10,CRM:Bayes:CRM:Bayes,75,25,25,2,1Y,2,2,1Y,1,2,0.417647058823529,16
40,10,CRM:Bayes:CRM:Bayes,76,25,25,2,1Y,2,0,1EN,0,2,0.0333333333333333,2
40,10,CRM:Bayes:CRM:Bayes,77,25,25,3,1Y,2,3,1Y,0,2,0.183333333333333,5
40,10,CRM:Bayes:CRM:Bayes,78,25,25,4,1Y,2,4,1Y,0,2,0.358823529411765,16
40,10,CRM:Bayes:CRM:Bayes,79,25,25,2,1Y,2,2,1Y,1,2,0.442857142857143,6
40,10,CRM:Bayes:CRM:Bayes,80,25,25,2,1Y,2,2,1Y,1,2,0.221428571428571,13
40,10,CRM:Bayes:CRM:Bayes,81,25,25,3,1Y,2,3,1Y,0,2,0.455555555555555,8
40,10,CRM:Bayes:CRM:Bayes,82,25,25,2,1Y,2,2,1Y,1,2,0.341666666666667,11
40,10,CRM:Bayes:CRM:Bayes,83,25,25,2,1Y,2,2,1Y,1,2,0.258333333333333,11
40,10,CRM:Bayes:CRM:Bayes,84,25,25,3,1Y,2,3,1Y,0,2,0.183333333333333,5
